subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
3,Left,LMC,Cons,Noise,39,3,1,0.776333499999964,5
3,Left,LMC,Cons,Noise,40,3,0,1.06707909999932,5
3,Left,LMC,Cons,Noise,41,2,0,0.867036699999517,4
3,Left,LMC,Cons,Noise,42,2,0,0.921278699999675,3
3,Left,LMC,Cons,Noise,43,3,0,0.828901400000177,5
3,Left,LMC,Cons,Noise,44,2,0,0.867477799998596,4
3,Left,LMC,Cons,Noise,45,3,0,1.00621390000015,3
3,Left,LMC,Cons,Noise,46,5,1,1.18982909999977,2
3,Left,LMC,Cons,Noise,47,2,0,0.758579800000007,1
3,Left,LMC,Cons,Noise,48,2,0,0.667886400000498,2
3,Left,LMC,Cons,Noise,49,3,0,0.638803699999698,3
3,Left,LMC,Cons,Noise,50,1,0,0.588508100001491,5
3,Left,LMC,Cons,Noise,51,5,1,1.04314909999994,5
3,Left,LMC,Cons,Noise,52,4,0,0.795155299998441,2
3,Left,LMC,Cons,Noise,53,3,1,1.05888099999902,1
3,Left,LMC,Cons,Noise,54,1,0,0.656365299999379,4
3,Left,LMC,Cons,Noise,55,2,0,0.61306549999972,3
3,Left,LMC,Cons,Noise,56,1,0,0.903744799999913,3
3,Left,LMC,Cons,Noise,57,4,1,0.892503700000816,4
3,Left,LMC,Cons,Noise,58,3,1,0.704797600001257,1
3,Left,LMC,Cons,Noise,59,5,1,0.696680100001686,1
3,Left,LMC,Cons,Noise,60,4,0,1.36855910000122,5
3,Left,LMC,Cons,Noise,61,3,1,1.0968230999988,3
3,Left,LMC,Cons,Noise,62,5,1,0.765672000001359,3
3,Left,LMC,Cons,Noise,63,1,0,0.652948700000707,3
3,Left,LMC,Cons,Noise,64,4,1,1.04857480000101,3
3,Left,LMC,Cons,Noise,65,2,0,0.852511999999479,5
3,Left,LMC,Cons,Noise,66,3,0,0.877343899999687,2
3,Left,LMC,Cons,Noise,67,4,1,0.73841800000082,4
3,Left,LMC,Cons,Noise,68,3,1,0.636453199998869,2
3,Left,LMC,Cons,Noise,69,1,0,0.769112699999823,2
3,Left,LMC,Cons,Noise,70,3,1,1.28334910000012,4
3,Left,LMC,Cons,Noise,71,4,1,1.06648649999988,1
3,Left,LMC,Cons,Noise,72,5,1,0.874932900000204,3
3,Left,LMC,Cons,Noise,73,3,1,1.02149959999952,4
3,Left,LMC,Cons,Noise,74,5,1,0.679577300001256,4
3,Left,LMC,Cons,Noise,75,4,1,0.850276299999678,2
3,Left,LMC,Cons,Noise,76,2,0,0.933456599999772,2
3,Left,LMC,Cons,Noise,77,1,0,0.654577400000562,1
3,Left,LMC,Cons,Noise,78,4,0,0.817448699999659,3
3,Left,Sham,Tone,Clear,1,4,1,0.845078099999228,2
3,Left,Sham,Tone,Clear,2,4,1,0.608789299993077,4
3,Left,Sham,Tone,Clear,3,4,1,0.762074800004484,4
3,Left,Sham,Tone,Clear,4,2,0,0.644135199996526,2
3,Left,Sham,Tone,Clear,5,3,1,0.714696800001548,1
3,Left,Sham,Tone,Clear,6,5,1,0.663677399992594,1
3,Left,Sham,Tone,Clear,7,4,1,0.512970700001461,5
3,Left,Sham,Tone,Clear,8,2,0,0.594326799997361,5
3,Left,Sham,Tone,Clear,9,3,1,0.569249899999704,3
3,Left,Sham,Tone,Clear,10,3,1,0.516423900000518,1
3,Left,Sham,Tone,Clear,11,4,1,0.572652399991057,3
3,Left,Sham,Tone,Clear,12,2,0,0.668706799988286,2
3,Left,Sham,Tone,Clear,13,2,0,0.682107500004349,3
3,Left,Sham,Tone,Clear,14,2,0,0.686803300006432,3
3,Left,Sham,Tone,Clear,15,1,0,0.801163599986467,1
3,Left,Sham,Tone,Clear,16,5,1,0.663459499992314,5
3,Left,Sham,Tone,Clear,17,2,0,0.580017200001748,1
3,Left,Sham,Tone,Clear,18,5,1,0.789818600009312,4
3,Left,Sham,Tone,Clear,19,3,0,0.744465800002217,5
3,Left,Sham,Tone,Clear,20,3,1,0.75751890000538,4
3,Left,Sham,Tone,Clear,21,5,1,0.571929199999431,2
3,Left,Sham,Tone,Clear,22,3,1,0.955138399993302,3
3,Left,Sham,Tone,Clear,23,3,1,0.712164500000654,2
3,Left,Sham,Tone,Clear,24,3,1,0.803500499998336,4
3,Left,Sham,Tone,Clear,25,1,0,0.622799400007352,2
3,Left,Sham,Tone,Clear,26,1,0,0.694960799999535,3
3,Left,Sham,Tone,Clear,27,4,1,0.537717800005339,1
3,Left,Sham,Tone,Clear,28,1,0,0.62490669998806,3
3,Left,Sham,Tone,Clear,29,2,0,0.669271599996137,4
3,Left,Sham,Tone,Clear,30,1,0,0.686564200004796,4
3,Left,Sham,Tone,Clear,31,4,1,0.675827800005209,2
3,Left,Sham,Tone,Clear,32,3,1,0.836133300006622,3
3,Left,Sham,Tone,Clear,33,3,1,0.707778600000893,5
3,Left,Sham,Tone,Clear,34,1,0,0.589946200008853,5
3,Left,Sham,Tone,Clear,35,2,0,0.644430600004853,4
3,Left,Sham,Tone,Clear,36,5,1,0.536277499995776,3
3,Left,Sham,Tone,Clear,37,3,1,0.649920500000007,2
3,Left,Sham,Tone,Clear,38,5,1,0.491487200008123,3
3,Left,Sham,Tone,Clear,39,4,1,0.56715339999937,3
3,Left,Sham,Tone,Clear,40,3,1,0.769303299995954,1
3,Left,Sham,Tone,Clear,41,5,1,0.53647120000096,2
3,Left,Sham,Tone,Clear,42,5,1,0.560341499993228,4
3,Left,Sham,Tone,Clear,43,4,1,0.544530099999974,1
3,Left,Sham,Tone,Clear,44,2,0,0.607756699988386,3
3,Left,Sham,Tone,Clear,45,4,1,0.620987100002822,3
3,Left,Sham,Tone,Clear,46,4,1,0.558707000003778,2
3,Left,Sham,Tone,Clear,47,4,1,0.546579400004703,4
3,Left,Sham,Tone,Clear,48,3,1,0.55542129999958,3
3,Left,Sham,Tone,Clear,49,2,0,0.759159099994577,3
3,Left,Sham,Tone,Clear,50,2,0,0.69708470000478,1
3,Left,Sham,Tone,Clear,51,3,1,0.920125000004191,4
3,Left,Sham,Tone,Clear,52,1,0,0.974903399997856,2
3,Left,Sham,Tone,Clear,53,5,1,0.513023299994529,5
3,Left,Sham,Tone,Clear,54,2,0,0.588961199988262,2
